Jihlava;Bítovčice;360
Žatec;Bitozeves;366
Znojmo;Blanné;75
Blansko;Blansko;16903
Česká Lípa;Blatce;94
Olomouc;Blatec;534
Blatná;Blatná;5510
Moravské Budějovice;Blatnice;322
Nýřany;Blatnice;709
Veselí nad Moravou;Blatnice pod Svatým Antonínkem;1761
Veselí nad Moravou;Blatnička;365
Chomutov;Blatno;466
Podbořany;Blatno;437
Bystřice pod Hostýnem;Blazice;172
Jindřichův Hradec;Blažejov;390
Vlašim;Blažejovice;96
Nýřany;Blažim;56
Žatec;Blažim;218
Bystřice nad Pernštejnem;Blažkov;245
Šlapanice;Blažovice;951
Hradec Králové;Blešno;346
Kladno;Blevice;253
Velké Meziříčí;Blízkov;281
Horšovský Týn;Blížejov;1240
Česká Lípa;Blíževedly;505
Znojmo;Blížkovice;1003
Blovice;Blovice;3459
Podbořany;Blšany;846
Louny;Blšany u Loun;293
Židlochovice;Blučina;1819
Šumperk;Bludov;2620
Kutná Hora;Bludov;24
Nymburk;Bobnice;716
Nové Město na Moravě;Bobrová;756
Nové Město na Moravě;Bobrůvka;221
Jablunkov;Bocanovice;398
Hořice;Boháňka;204
Hradec Králové;Boharyně;494
Bučovice;Bohaté Málkovice;214
Česká Lípa;Bohatice;173
Žďár nad Sázavou;Bohdalec;251
Vyškov;Bohdalice-Pavlovice;719
Pelhřimov;Bohdalín;160
Žďár nad Sázavou;Bohdalov;947
Český Krumlov;Bohdalovice;262
Kutná Hora;Bohdaneč;346
Dobruška;Bohdašín;197
Šumperk;Bohdíkov;1134
Příbram;Bohostice;170
Vimperk;Bohumilice;270
Bohumín;Bohumín;18277
Prachatice;Bohunice;39
Bystřice nad Pernštejnem;Bohuňov;227
Svitavy;Bohuňov;126
Olomouc;Bohuňovice;2193
Litomyšl;Bohuňovice;105
Telč;Bohuslavice;117
Nové Město nad Metují;Bohuslavice;835
Hlučín;Bohuslavice;1449
Konice;Bohuslavice;378
Zábřeh;Bohuslavice;425
Luhačovice;Bohuslavice nad Vláří;326
Zlín;Bohuslavice u Zlína;648
Lipník nad Bečvou;Bohuslávky;274
Moravské Budějovice;Bohušice;120
Krnov;Bohušov;335
Litoměřice;Bohušovice nad Ohří;2099
Moravský Krumlov;Bohutice;558
Šumperk;Bohutín;632
Příbram;Bohutín;1523
Kralovice;Bohy;106
Přerov;Bochoř;833
Karlovy Vary;Bochov;1685
Třebíč;Bochovice;141
Chrudim;Bojanov;545
Znojmo;Bojanovice;166
Černošice;Bojanovice;396
Světlá nad Sázavou;Bojiště;236
Uherský Brod;Bojkovice;3752
Kravaře;Bolatice;3773
Chomutov;Boleboř;254
Kostelec nad Orlicí;Bolehošť;490
Hustopeče;Boleradice;768
Klatovy;Bolešiny;624
Český Krumlov;Boletice;0
Přeštice;Bolkov;44
Havlíčkův Brod;Boňkov;62
Tachov;Bor;3278
Chrudim;Bor u Skutče;124
Tišnov;Borač;287
Frenštát pod Radhoštěm;Bordovice;506
Mladá Boleslav;Boreč;228
České Budějovice;Borek;1301
Chotěboř;Borek;107
Hořice;Borek;79
Pardubice;Borek;242
Brandýs nad Labem-Stará Boleslav;Borek;263
Hustopeče;Borkovany;691
Soběslav;Borkovice;203
Kostelec nad Orlicí;Borohrádek;1748
Znojmo;Borotice;354
Dobříš;Borotice;323
Tábor;Borotín;563
Boskovice;Borotín;373
Náchod;Borová;181
Polička;Borová;833
Vimperk;Borová Lada;225
Milevsko;Borovany;187
Trhové Sviny;Borovany;3476
Telč;Borovná;71
České Budějovice;Borovnice;110
Nové Město na Moravě;Borovnice;155
